nome;período;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-de-jovens;homicidios-homens;homicidios-homens-nao-negros;homicidios-de-jovens-homens;homicidios-de-homens-por-armas-de-fogo;homicidio-de-jovens-por-armas-de-fogo;homicidios-mulheres-negras;homicidios;homicidios-de-jovens-mulheres;homicidios-mulheres-nao-negras;homicidios-homens-negros;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo
DF;1988;;;;;;;160;;;;;11;;;;161
ES;1988;;;;;;;266;;;;;32;;;;265
GO;1988;;;;;;;285;;;;;41;;;;400
MA;1988;;;;;;;122;;;;;7;;;;141
MG;1988;;;;;;;388;;;;;60;;;;347
MS;1988;;;;;;;113;;;;;12;;;;172
MT;1988;;;;;;;138;;;;;9;;;;188
PA;1988;;;;;;;237;;;;;25;;;;337
PB;1988;;;;;;;155;;;;;25;;;;156
PE;1988;;;;;;;1046;;;;;62;;;;1510
PI;1988;;;;;;;49;;;;;4;;;;38
PR;1988;;;;;;;410;;;;;51;;;;455
RJ;1988;;;;;;;1528;;;;;91;;;;2028
RN;1988;;;;;;;82;;;;;8;;;;91
RO;1988;;;;;;;144;;;;;21;;;;210
RR;1988;;;;;;;21;;;;;5;;;;2
RS;1988;;;;;;;501;;;;;45;;;;510
SC;1988;;;;;;;115;;;;;17;;;;155
SE;1988;;;;;;;25;;;;;2;;;;31
SP;1988;;;;;;;4048;;;;;277;;;;2438
TO;1988;;;;;;;0;;;;;0;;;;0
AC;1989;;6.0;;56.0;89.0;;52;45.0;28.0;;95.0;4;;;3.0;48
AL;1989;;66.0;;339.0;739.0;;310;310.0;143.0;;805.0;29;;;21.0;331
AM;1989;;31.0;;161.0;289.0;;141;136.0;82.0;;321.0;20;;;9.0;146
AP;1989;;3.0;;29.0;36.0;;27;19.0;13.0;;39.0;2;;;1.0;20
BA;1989;;80.0;;574.0;1000.0;;527;562.0;327.0;;1086.0;46;;;23.0;591
CE;1989;;47.0;;299.0;560.0;;286;203.0;121.0;;607.0;13;;;13.0;216
DF;1989;;23.0;;185.0;308.0;;177;177.0;116.0;;331.0;8;;;5.0;182
ES;1989;;75.0;;349.0;763.0;;320;361.0;180.0;;845.0;29;;;29.0;395
GO;1989;;91.0;;344.0;717.0;;302;426.0;223.0;;810.0;41;;;44.0;471
MA;1989;;28.0;;174.0;382.0;;160;166.0;82.0;;411.0;13;;;10.0;176
MG;1989;;168.0;;546.0;1047.0;;479;384.0;223.0;;1216.0;67;;;47.0;432
MS;1989;;39.0;;168.0;330.0;;147;175.0;95.0;;371.0;21;;;20.0;197
MT;1989;;31.0;;180.0;440.0;;165;199.0;82.0;;471.0;15;;;8.0;207
PA;1989;;51.0;;303.0;615.0;;276;328.0;165.0;;666.0;27;;;28.0;356
PB;1989;;52.0;;193.0;409.0;;169;201.0;102.0;;461.0;24;;;21.0;222
